RequestType,RequestedFileName,FileSize [MB],Time [s]
DELETE,Leonardo_edoardo.png,NaN,0.846092700958252
UPLOAD,Leonardo.png,0.006543159484863281,0.8973226547241211
DOWNLOAD,Leonardo_edoardo.png,0.006543159484863281,0.7384490966796875
UPLOAD,Appunti CPS.pdf,94.04502296447754,6.800205945968628
DOWNLOAD,Appunti CPS_edoardo.pdf,94.04502296447754,78.00646948814392
DOWNLOAD,30mb_edoardo.txt,29.029855728149414,60.46268916130066
UPLOAD,30mb.txt,4.93792724609375,2.1067073345184326
DELETE,30mb.txt,NaN,0.6678075790405273
DELETE,30mb_edoardo.txt,NaN,1.097776174545288
DELETE,Leonardo.png,NaN,0.7053194046020508
UPLOAD,Forest.jpg,14.573287963867188,5.6534624099731445
