RequestType,FileSize [MB],Time [s],EdgeNum
DOWNLOAD,5.0,16.772026300430298,0
DOWNLOAD,5.0,26.842262029647827,0
DOWNLOAD,10.0,36.35383605957031,0
DOWNLOAD,5.0,36.4198362827301,0
DOWNLOAD,20.0,37.48614764213562,0
DOWNLOAD,20.0,51.25090312957764,0
DOWNLOAD,30.0,55.65300011634827,0
DOWNLOAD,10.0,59.390307903289795,0
DOWNLOAD,30.0,62.624470949172974,0
DOWNLOAD,20.0,62.90993523597717,0
DOWNLOAD,10.0,68.09015989303589,0
DOWNLOAD,30.0,76.0650544166565,0
DOWNLOAD,100.0,80.09170389175415,0
DOWNLOAD,100.0,81.03230500221252,0
DOWNLOAD,250.0,103.43149876594543,0
DOWNLOAD,250.0,106.86725234985352,0
DOWNLOAD,10.0,28.53211545944214,0
DOWNLOAD,5.0,32.450379610061646,0
DOWNLOAD,5.0,37.89051342010498,0
DOWNLOAD,5.0,43.11351728439331,0
DOWNLOAD,10.0,48.62922382354736,0
DOWNLOAD,10.0,48.83269953727722,0
DOWNLOAD,20.0,52.85515356063843,0
DOWNLOAD,30.0,57.79643416404724,0
DOWNLOAD,20.0,64.3828136920929,0
DOWNLOAD,30.0,64.96659016609192,0
DOWNLOAD,20.0,67.93518114089966,0
DOWNLOAD,30.0,74.07131218910217,0
DOWNLOAD,100.0,85.24712896347046,0
DOWNLOAD,100.0,85.47361969947815,0
DOWNLOAD,250.0,106.15497589111328,0
DOWNLOAD,250.0,109.75533604621887,0
DOWNLOAD,5.0,6.791660785675049,0
DOWNLOAD,5.0,37.214168071746826,0
DOWNLOAD,5.0,38.30082869529724,0
DOWNLOAD,10.0,42.961010694503784,0
DOWNLOAD,10.0,60.80256175994873,0
DOWNLOAD,10.0,63.91229033470154,0
DOWNLOAD,30.0,63.802350997924805,0
DOWNLOAD,20.0,64.85496997833252,0
DOWNLOAD,20.0,65.30271458625793,0
DOWNLOAD,30.0,65.19195461273193,0
DOWNLOAD,20.0,67.35220193862915,0
DOWNLOAD,30.0,79.12044095993042,0
DOWNLOAD,100.0,86.55760478973389,0
DOWNLOAD,100.0,97.42530035972595,0
DOWNLOAD,250.0,106.15253067016602,0
DOWNLOAD,250.0,109.74484705924988,0
DOWNLOAD,5.0,35.718382358551025,0
DOWNLOAD,5.0,39.28044772148132,0
DOWNLOAD,5.0,45.091697454452515,0
DOWNLOAD,10.0,54.87883949279785,0
DOWNLOAD,10.0,55.36109471321106,0
DOWNLOAD,30.0,63.22587966918945,0
DOWNLOAD,30.0,64.3683934211731,0
DOWNLOAD,10.0,68.11726832389832,0
DOWNLOAD,20.0,68.66151142120361,0
DOWNLOAD,20.0,76.29344964027405,0
DOWNLOAD,30.0,79.89566540718079,0
DOWNLOAD,20.0,80.67436742782593,0
DOWNLOAD,100.0,84.10829615592957,0
DOWNLOAD,100.0,89.74833464622498,0
DOWNLOAD,250.0,107.38486695289612,0
DOWNLOAD,250.0,109.32069730758667,0
DOWNLOAD,5.0,22.768102407455444,0
DOWNLOAD,5.0,40.09564685821533,0
DOWNLOAD,10.0,42.34118413925171,0
DOWNLOAD,5.0,53.74292612075806,0
DOWNLOAD,10.0,55.33303952217102,0
DOWNLOAD,20.0,64.63665556907654,0
DOWNLOAD,30.0,67.6931471824646,0
DOWNLOAD,20.0,68.56812143325806,0
DOWNLOAD,30.0,68.78798794746399,0
DOWNLOAD,20.0,69.24952912330627,0
DOWNLOAD,100.0,80.3084282875061,0
DOWNLOAD,10.0,80.39934754371643,0
DOWNLOAD,30.0,84.21249032020569,0
DOWNLOAD,100.0,99.44212055206299,0
DOWNLOAD,250.0,107.20818305015564,0
DOWNLOAD,250.0,108.81726145744324,0
DOWNLOAD,5.0,12.35348892211914,10
DOWNLOAD,5.0,13.115668058395386,10
DOWNLOAD,10.0,19.165050268173218,10
DOWNLOAD,5.0,21.230812549591064,10
DOWNLOAD,10.0,22.41907811164856,10
DOWNLOAD,10.0,24.687634468078613,10
DOWNLOAD,20.0,30.72255802154541,10
DOWNLOAD,20.0,32.059192419052124,10
DOWNLOAD,20.0,33.47830390930176,10
DOWNLOAD,30.0,39.94895029067993,10
DOWNLOAD,30.0,43.579060554504395,10
DOWNLOAD,30.0,46.02477788925171,10
DOWNLOAD,100.0,74.67265915870667,10
DOWNLOAD,100.0,76.49013185501099,10
DOWNLOAD,250.0,148.74944281578064,10
DOWNLOAD,250.0,156.0373454093933,10
DOWNLOAD,10.0,0.09702897071838379,10
DOWNLOAD,5.0,0.07388114929199219,10
DOWNLOAD,30.0,0.2008199691772461,10
DOWNLOAD,20.0,0.20183086395263672,10
DOWNLOAD,30.0,0.13814496994018555,10
DOWNLOAD,30.0,0.2303788661956787,10
DOWNLOAD,5.0,0.041579484939575195,10
DOWNLOAD,5.0,0.04175257682800293,10
DOWNLOAD,20.0,0.13838791847229004,10
DOWNLOAD,20.0,0.10095643997192383,10
DOWNLOAD,10.0,0.06009268760681152,10
DOWNLOAD,10.0,0.029801368713378906,10
DOWNLOAD,100.0,58.44569206237793,10
DOWNLOAD,100.0,64.56121015548706,10
DOWNLOAD,250.0,120.36193466186523,10
DOWNLOAD,250.0,139.5442156791687,10
DOWNLOAD,10.0,0.07887101173400879,10
DOWNLOAD,20.0,0.13110971450805664,10
DOWNLOAD,20.0,0.14414119720458984,10
DOWNLOAD,5.0,0.06104707717895508,10
DOWNLOAD,10.0,0.09652423858642578,10
DOWNLOAD,5.0,0.05950641632080078,10
DOWNLOAD,10.0,0.08613801002502441,10
DOWNLOAD,30.0,0.09496927261352539,10
DOWNLOAD,30.0,0.21037673950195312,10
DOWNLOAD,5.0,0.04592466354370117,10
DOWNLOAD,30.0,0.12763190269470215,10
DOWNLOAD,20.0,0.07111692428588867,10
DOWNLOAD,100.0,49.17188119888306,10
DOWNLOAD,100.0,63.20366668701172,10
DOWNLOAD,250.0,119.61341071128845,10
DOWNLOAD,250.0,132.15930438041687,10
DOWNLOAD,5.0,0.08019661903381348,10
DOWNLOAD,30.0,0.1575157642364502,10
DOWNLOAD,10.0,0.0952916145324707,10
DOWNLOAD,10.0,0.08089923858642578,10
DOWNLOAD,10.0,0.05285453796386719,10
DOWNLOAD,5.0,0.029235363006591797,10
DOWNLOAD,30.0,0.19196295738220215,10
DOWNLOAD,5.0,0.08146333694458008,10
DOWNLOAD,30.0,0.19865655899047852,10
DOWNLOAD,20.0,0.1745438575744629,10
DOWNLOAD,20.0,0.05942845344543457,10
DOWNLOAD,20.0,0.12463951110839844,10
DOWNLOAD,100.0,53.940752029418945,10
DOWNLOAD,100.0,69.50863838195801,10
DOWNLOAD,250.0,121.84266376495361,10
DOWNLOAD,250.0,131.28169465065002,10
DOWNLOAD,10.0,0.04724717140197754,10
DOWNLOAD,5.0,0.03133678436279297,10
DOWNLOAD,5.0,0.07920384407043457,10
DOWNLOAD,20.0,0.08694005012512207,10
DOWNLOAD,5.0,0.05442166328430176,10
DOWNLOAD,10.0,0.04671049118041992,10
DOWNLOAD,20.0,0.0785682201385498,10
DOWNLOAD,30.0,0.19655537605285645,10
DOWNLOAD,20.0,0.17567992210388184,10
DOWNLOAD,10.0,0.07490277290344238,10
DOWNLOAD,30.0,0.15515613555908203,10
DOWNLOAD,30.0,0.07249617576599121,10
DOWNLOAD,100.0,48.35195779800415,10
DOWNLOAD,100.0,62.24470520019531,10
DOWNLOAD,250.0,126.19400310516357,10
DOWNLOAD,250.0,137.37934041023254,10
